"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1382","createUniqueUserReturnsSuccess","","","passed","","","praktikum.tests.UserCreationTest","praktikum.tests.UserCreationTest",""
"","3364","loginWithIncorrectCredentialsReturnsError","","","passed","","","praktikum.tests.UserLoginTest","praktikum.tests.UserLoginTest",""
"","92","createOrderWithoutAuthorizationWithIngredientsReturnsSuccess","","","passed","","","praktikum.tests.OrderCreationTest","praktikum.tests.OrderCreationTest",""
"","86","createUserWithoutEmailReturnsError","","","passed","","","praktikum.tests.UserCreationTest","praktikum.tests.UserCreationTest",""
"","1118","createExistingUserReturnError","","","passed","","","praktikum.tests.UserCreationTest","praktikum.tests.UserCreationTest",""
"","4574","createOrderWithoutAuthorizationReturnsSuccess","","","passed","","","praktikum.tests.OrderCreationTest","praktikum.tests.OrderCreationTest",""
"","76","createUserWithoutNameReturnsError","","","passed","","","praktikum.tests.UserCreationTest","praktikum.tests.UserCreationTest",""
"","359","loginExistingUserReturnSuccess","","","passed","","","praktikum.tests.UserLoginTest","praktikum.tests.UserLoginTest",""
"","84","createOrderWithoutIngredientsReturnsError","","","passed","","","praktikum.tests.OrderCreationTest","praktikum.tests.OrderCreationTest",""
"","97","createUserWithoutPasswordReturnsError","","","passed","","","praktikum.tests.UserCreationTest","praktikum.tests.UserCreationTest",""
"","73","createOrderWithIncorrectIngredientHashReturnsError","","","passed","","","praktikum.tests.OrderCreationTest","praktikum.tests.OrderCreationTest",""
